,name,tag
498,../Data\Words/downloaded_videos\DRUNK-Y-hand-version\DRUNK-[Y-hand-version].mp4,DRUNK-Y-hand-version
499,../Data\Words/downloaded_videos\DRY\DRY.mp4,DRY
500,../Data\Words/downloaded_videos\DRYER-DRY-DRY-version\DRYER-[DRY-DRY-version].mp4,DRYER-DRY-DRY-version
501,../Data\Words/downloaded_videos\DRYER-DRY-spin-around-version\DRYER-[DRY-spin-around-version].mp4,DRYER-DRY-spin-around-version
502,../Data\Words/downloaded_videos\DUCK\DUCK.mp4,DUCK
503,../Data\Words/downloaded_videos\during\during.mp4,during
504,../Data\Words/downloaded_videos\DURING COLLEGE YOUR PARENTS SUPPORT YOU\DURING COLLEGE YOUR PARENTS SUPPORT YOU？.mp4,DURING COLLEGE YOUR PARENTS SUPPORT YOU
505,../Data\Words/downloaded_videos\DURING SIGN-fluently ASL SHOULD USE MOUTH QM-wig\DURING SIGN-[fluently] ASL SHOULD USE MOUTH QM-wig？.mp4,DURING SIGN-fluently ASL SHOULD USE MOUTH QM-wig
506,../Data\Words/downloaded_videos\DURING SUMMER VACATION YOU STUDY\DURING SUMMER VACATION YOU STUDY？.mp4,DURING SUMMER VACATION YOU STUDY
507,"../Data\Words/downloaded_videos\DURING TEST CAN TALK QM-wig\DURING TEST, CAN TALK QM-wig？.mp4",DURING TEST CAN TALK QM-wig
508,../Data\Words/downloaded_videos\DURING TEST YOU COPY FRIEND PAPER YOU\DURING TEST YOU COPY FRIEND PAPER YOU？.mp4,DURING TEST YOU COPY FRIEND PAPER YOU
509,../Data\Words/downloaded_videos\DURING TEST YOU FEEL PRESSURE YOU\DURING TEST YOU FEEL PRESSURE YOU？.mp4,DURING TEST YOU FEEL PRESSURE YOU
510,../Data\Words/downloaded_videos\DURING TEST YOU SOMETIME STUCK\DURING TEST YOU SOMETIME STUCK？.mp4,DURING TEST YOU SOMETIME STUCK
511,"../Data\Words/downloaded_videos\DURING YOU STUDY PERSON INTERRUPT YOU MOST WHO\DURING YOU STUDY, PERSON INTERRUPT YOU MOST WHO？.mp4",DURING YOU STUDY PERSON INTERRUPT YOU MOST WHO
512,../Data\Words/downloaded_videos\DUTY-version-not-recommended\DUTY-[version]-[not-recommended].mp4,DUTY-version-not-recommended
513,../Data\Words/downloaded_videos\EAR\EAR.mp4,EAR
514,../Data\Words/downloaded_videos\early\early.mp4,early
515,../Data\Words/downloaded_videos\early version\early version.mp4,early version
516,../Data\Words/downloaded_videos\EARLY-backward-movement-version\EARLY-[backward-movement-version].mp4,EARLY-backward-movement-version
517,../Data\Words/downloaded_videos\EARLY-version\EARLY-[version].mp4,EARLY-version
518,../Data\Words/downloaded_videos\earn\earn.mp4,earn
519,../Data\Words/downloaded_videos\EARN-cream-version\EARN-[cream-version].mp4,EARN-cream-version
520,../Data\Words/downloaded_videos\EARN-S-hand-version-deserve\EARN-[S-hand-version]-deserve.mp4,EARN-S-hand-version-deserve
521,../Data\Words/downloaded_videos\EARTH-QUAKE-planet\EARTH-QUAKE-[planet].mp4,EARTH-QUAKE-planet
522,../Data\Words/downloaded_videos\EARTHQUAKE YOU FINISH EXPERIENCE YOU\EARTHQUAKE YOU FINISH EXPERIENCE YOU？.mp4,EARTHQUAKE YOU FINISH EXPERIENCE YOU
523,../Data\Words/downloaded_videos\easilyeasy\easily⧸easy.mp4,easilyeasy
524,../Data\Words/downloaded_videos\EAST\EAST.mp4,EAST
525,../Data\Words/downloaded_videos\EASTER HIDE WHAT\EASTER HIDE WHAT？.mp4,EASTER HIDE WHAT
526,../Data\Words/downloaded_videos\EASTER-one_handed_version\EASTER-[one_handed_version].mp4,EASTER-one_handed_version
527,../Data\Words/downloaded_videos\EASTER-two_handed_version\EASTER-[two_handed_version].mp4,EASTER-two_handed_version
528,../Data\Words/downloaded_videos\EAT\EAT.mp4,EAT
529,"../Data\Words/downloaded_videos\EAT FINISH CUP DISH PUT S-I-N-K YOU\EAT FINISH, CUP, DISH, PUT S-I-N-K YOU？.mp4",EAT FINISH CUP DISH PUT S-I-N-K YOU
530,"../Data\Words/downloaded_videos\EAT FINISH YOU LIKE SHORT-duration SLEEP\EAT FINISH, YOU LIKE SHORT-[duration] SLEEP？.mp4",EAT FINISH YOU LIKE SHORT-duration SLEEP
531,../Data\Words/downloaded_videos\EATFOOD\EAT⧸FOOD.mp4,EATFOOD
532,../Data\Words/downloaded_videos\EGG\EGG.mp4,EGG
533,"../Data\Words/downloaded_videos\EGG Y-O-L-K YOU LIKE SOFT-rt HARD-lf WHICH\EGG Y-O-L-K YOU LIKE SOFT-rt, HARD-lf, WHICH？.mp4",EGG Y-O-L-K YOU LIKE SOFT-rt HARD-lf WHICH
534,"../Data\Words/downloaded_videos\EGG YOU LIKE COOK HOW\EGG, YOU LIKE COOK HOW？.mp4",EGG YOU LIKE COOK HOW
535,../Data\Words/downloaded_videos\EIGHTEEN TAKE-AWAY FIVE EQUAL WHAT-huh\EIGHTEEN TAKE-AWAY FIVE EQUAL WHAT-[huh]？.mp4,EIGHTEEN TAKE-AWAY FIVE EQUAL WHAT-huh
536,"../Data\Words/downloaded_videos\Electric -electricity battery power electric charge charge\Electric -[electricity, battery, power, electric charge, charge].mp4",Electric -electricity battery power electric charge charge
537,../Data\Words/downloaded_videos\ELECTRIC SHUT-off power outage version 01\ELECTRIC SHUT-off [power outage] (version 01).mp4,ELECTRIC SHUT-off power outage version 01
538,../Data\Words/downloaded_videos\ELECTRIC SHUT-off power outage version 02\ELECTRIC SHUT-off [power outage] (version 02).mp4,ELECTRIC SHUT-off power outage version 02
539,../Data\Words/downloaded_videos\elementweather\element⧸weather.mp4,elementweather
540,../Data\Words/downloaded_videos\ELEVATOR\ELEVATOR.mp4,ELEVATOR
541,../Data\Words/downloaded_videos\ELEVATOR-version\ELEVATOR-[version].mp4,ELEVATOR-version
542,../Data\Words/downloaded_videos\ELEVEN PLUS FOURTEEN EQUAL WHAT-huh\ELEVEN PLUS FOURTEEN EQUAL WHAT-[huh]？.mp4,ELEVEN PLUS FOURTEEN EQUAL WHAT-huh
543,../Data\Words/downloaded_videos\else  other\else ⧸ other.mp4,else  other
544,../Data\Words/downloaded_videos\EMAIL flat c hand version\EMAIL (flat c hand version).mp4,EMAIL flat c hand version
545,../Data\Words/downloaded_videos\EMAIL send electronic signal version\EMAIL (send electronic signal version).mp4,EMAIL send electronic signal version
546,"../Data\Words/downloaded_videos\EMAIL you all electronically 2 hand version\EMAIL (you all electronically, 2 hand version).mp4",EMAIL you all electronically 2 hand version
547,"../Data\Words/downloaded_videos\EMAIL YOU GIVE-UP FROM-NOW-ON FOR 200000 YOU\EMAIL, YOU GIVE-UP FROM-NOW-ON FOR $200,000 YOU？.mp4",EMAIL YOU GIVE-UP FROM-NOW-ON FOR 200000 YOU
548,../Data\Words/downloaded_videos\EMAIL-bent-hand-version\EMAIL-[bent-hand-version].mp4,EMAIL-bent-hand-version
549,../Data\Words/downloaded_videos\EMBARRASS EASY YOU\EMBARRASS EASY YOU？.mp4,EMBARRASS EASY YOU
550,../Data\Words/downloaded_videos\embarrassed\embarrassed.mp4,embarrassed
551,../Data\Words/downloaded_videos\EMOTION\EMOTION.mp4,EMOTION
552,../Data\Words/downloaded_videos\employ-BOSS\employ-[BOSS].mp4,employ-BOSS
553,../Data\Words/downloaded_videos\employ-HIRE\employ-[HIRE].mp4,employ-HIRE
554,../Data\Words/downloaded_videos\employeeWORKER\employee⧸WORKER.mp4,employeeWORKER
555,../Data\Words/downloaded_videos\ENDweekend\END⧸weekend.mp4,ENDweekend
556,../Data\Words/downloaded_videos\engineer measurer\engineer [measurer].mp4,engineer measurer
557,../Data\Words/downloaded_videos\ENGLISH\ENGLISH.mp4,ENGLISH
558,"../Data\Words/downloaded_videos\ENGLISH YOU LIKE STUDY\ENGLISH, YOU LIKE STUDY？.mp4",ENGLISH YOU LIKE STUDY
559,../Data\Words/downloaded_videos\enhance-IMPROVE\enhance-[IMPROVE].mp4,enhance-IMPROVE
560,../Data\Words/downloaded_videos\ENJOY-appreciate\ENJOY-[appreciate].mp4,ENJOY-appreciate
561,../Data\Words/downloaded_videos\enough  sufficient\enough ⧸ sufficient.mp4,enough  sufficient
562,../Data\Words/downloaded_videos\ENTHUSIASTIC\ENTHUSIASTIC.mp4,ENTHUSIASTIC
563,../Data\Words/downloaded_videos\entire all whole\entire all whole.mp4,entire all whole
564,../Data\Words/downloaded_videos\EQUAL  tie  fair  justice equitable  equity\EQUAL ⧸ tie ⧸ fair ⧸ justice ⧸equitable ⧸ equity.mp4,EQUAL  tie  fair  justice equitable  equity
565,"../Data\Words/downloaded_videos\essential-IMPORTANT crucial It matters\essential-[IMPORTANT], crucial, It matters!.mp4",essential-IMPORTANT crucial It matters
566,../Data\Words/downloaded_videos\ESTABLISH-set-up\ESTABLISH-[set-up].mp4,ESTABLISH-set-up
567,../Data\Words/downloaded_videos\EUROPE\EUROPE.mp4,EUROPE
568,../Data\Words/downloaded_videos\evening night\evening night.mp4,evening night
569,../Data\Words/downloaded_videos\every afternoon\every afternoon.mp4,every afternoon
570,../Data\Words/downloaded_videos\every morning\every morning.mp4,every morning
571,../Data\Words/downloaded_videos\every morning you hurry shower clothes eat go school\every morning you hurry shower clothes eat go school？.mp4,every morning you hurry shower clothes eat go school
572,"../Data\Words/downloaded_videos\Every-2-WEEK YOU GET PAY-CHECK YOU\Every-2-WEEK, YOU GET PAY-CHECK YOU？.mp4",Every-2-WEEK YOU GET PAY-CHECK YOU
573,../Data\Words/downloaded_videos\EVERY-AFTERNOON\EVERY-AFTERNOON.mp4,EVERY-AFTERNOON
574,../Data\Words/downloaded_videos\EVERY-MORNING\EVERY-MORNING.mp4,EVERY-MORNING
575,../Data\Words/downloaded_videos\EVERY-NIGHT\EVERY-NIGHT.mp4,EVERY-NIGHT
576,"../Data\Words/downloaded_videos\every-NIGHT -every evening every night\every-NIGHT -[every evening, every night].mp4",every-NIGHT -every evening every night
577,../Data\Words/downloaded_videos\EVERY-SATURDAY WHAT-DO YOU\EVERY-SATURDAY WHAT-DO YOU？.mp4,EVERY-SATURDAY WHAT-DO YOU
578,../Data\Words/downloaded_videos\Every-SATURDAY YOU what-DO\Every-SATURDAY YOU what-DO？.mp4,Every-SATURDAY YOU what-DO
579,../Data\Words/downloaded_videos\Every-YEAR FEDERAL T-A-X YOU PAY HOW-MUCH-1h\Every-YEAR FEDERAL T-A-X YOU PAY HOW-MUCH-[1h]？.mp4,Every-YEAR FEDERAL T-A-X YOU PAY HOW-MUCH-1h
580,"../Data\Words/downloaded_videos\Every-YEAR WINTER HEAD-COLD YOU\Every-YEAR, WINTER, HEAD-COLD YOU？.mp4",Every-YEAR WINTER HEAD-COLD YOU
581,../Data\Words/downloaded_videos\every-YEAR-version-annually\every-YEAR-[version]-[annually].mp4,every-YEAR-version-annually
582,../Data\Words/downloaded_videos\EVERYDAY YOU BUY WHAT\EVERYDAY YOU BUY WHAT？.mp4,EVERYDAY YOU BUY WHAT
583,"../Data\Words/downloaded_videos\EVERYDAY YOU DRINK WATER HOW-MANY CUP\EVERYDAY YOU DRINK, WATER HOW-MANY CUP？.mp4",EVERYDAY YOU DRINK WATER HOW-MANY CUP
584,../Data\Words/downloaded_videos\EXACT  precise\EXACT ⧸ precise.mp4,EXACT  precise
585,../Data\Words/downloaded_videos\EXAGGERATE\EXAGGERATE.mp4,EXAGGERATE
586,../Data\Words/downloaded_videos\exchangeswap\exchange⧸swap.mp4,exchangeswap
587,../Data\Words/downloaded_videos\EXCITED\EXCITED.mp4,EXCITED
588,../Data\Words/downloaded_videos\EXCUSE\EXCUSE.mp4,EXCUSE
589,../Data\Words/downloaded_videos\EXPENSIVE\EXPENSIVE.mp4,EXPENSIVE
590,../Data\Words/downloaded_videos\EXPERIENCE\EXPERIENCE.mp4,EXPERIENCE
591,../Data\Words/downloaded_videos\experiment TEST\experiment [TEST].mp4,experiment TEST
592,../Data\Words/downloaded_videos\EXPLAIN-definedescribeinstructions\EXPLAIN-[define⧸describe⧸instructions].mp4,EXPLAIN-definedescribeinstructions
593,../Data\Words/downloaded_videos\exploreSEARCHseek\explore⧸SEARCH⧸seek.mp4,exploreSEARCHseek
594,../Data\Words/downloaded_videos\Eyes  EYES\Eyes ⧸ EYES.mp4,Eyes  EYES
595,../Data\Words/downloaded_videos\F-GRADE-academic\F-GRADE-[academic].mp4,F-GRADE-academic
596,../Data\Words/downloaded_videos\F-I-N-E HOW SIGN\F-I-N-E HOW SIGN？.mp4,F-I-N-E HOW SIGN
597,../Data\Words/downloaded_videos\face\face.mp4,face
598,../Data\Words/downloaded_videos\FACULTY\FACULTY.mp4,FACULTY
599,../Data\Words/downloaded_videos\FAIL\FAIL.mp4,FAIL
600,"../Data\Words/downloaded_videos\FAIR EVEN TIE same-LEVEL\FAIR, EVEN, TIE, same-LEVEL.mp4",FAIR EVEN TIE same-LEVEL
601,"../Data\Words/downloaded_videos\FALL AUTUMN\FALL, AUTUMN.mp4",FALL AUTUMN
602,../Data\Words/downloaded_videos\FALL-IN-LOVE\FALL-IN-LOVE.mp4,FALL-IN-LOVE
603,../Data\Words/downloaded_videos\FALL-OFF\FALL-OFF.mp4,FALL-OFF
604,../Data\Words/downloaded_videos\FAMILY DEAF\FAMILY DEAF？.mp4,FAMILY DEAF
605,../Data\Words/downloaded_videos\FAMILY initialized version\FAMILY [initialized version].mp4,FAMILY initialized version
606,../Data\Words/downloaded_videos\FAMILY non-initialized version\FAMILY [non-initialized version].mp4,FAMILY non-initialized version
607,../Data\Words/downloaded_videos\far\far.mp4,far
608,../Data\Words/downloaded_videos\far-away-CL 1\far-away-[CL： 1].mp4,far-away-CL 1
609,../Data\Words/downloaded_videos\FARM\FARM.mp4,FARM
610,../Data\Words/downloaded_videos\FARM-upright-version\FARM-[upright-version].mp4,FARM-upright-version
611,../Data\Words/downloaded_videos\FARMAREA rural area farming area\FARM+AREA⧸ rural area⧸ farming area.mp4,FARMAREA rural area farming area
612,../Data\Words/downloaded_videos\FAST -speed\FAST -[speed].mp4,FAST -speed
613,../Data\Words/downloaded_videos\FAST-L-to-S-version\FAST-[L-to-S-version].mp4,FAST-L-to-S-version
614,../Data\Words/downloaded_videos\FAST-speeding TICKET COST HOW-MUCH-1h\FAST-[speeding] TICKET COST HOW-MUCH-[1h]？.mp4,FAST-speeding TICKET COST HOW-MUCH-1h
615,../Data\Words/downloaded_videos\FATHER-IN-LAW\FATHER-IN-LAW.mp4,FATHER-IN-LAW
616,../Data\Words/downloaded_videos\FAULT\FAULT.mp4,FAULT
617,"../Data\Words/downloaded_videos\favorite prefer preference type rather favor taste ..#\favorite, prefer, preference, type, rather, favor, taste, ....mp4",favorite prefer preference type rather favor taste ..#
618,../Data\Words/downloaded_videos\FAVORITE TIME YEAR WHAT\FAVORITE TIME YEAR WHAT？.mp4,FAVORITE TIME YEAR WHAT
619,../Data\Words/downloaded_videos\fearafraidscare scared\fear⧸afraid⧸scare scared.mp4,fearafraidscare scared
620,../Data\Words/downloaded_videos\fed up  had it up to here  idiomatic\fed up ⧸ had it up to here ⧸ [idiomatic].mp4,fed up  had it up to here  idiomatic
621,../Data\Words/downloaded_videos\FEDERAL\FEDERAL.mp4,FEDERAL
622,../Data\Words/downloaded_videos\feel\feel.mp4,feel
623,../Data\Words/downloaded_videos\FEEL SICK YOU\FEEL SICK YOU？.mp4,FEEL SICK YOU
624,../Data\Words/downloaded_videos\feeling\feeling.mp4,feeling
625,../Data\Words/downloaded_videos\FEW\FEW.mp4,FEW
626,../Data\Words/downloaded_videos\FEW-A-hand - 4-hand-version SEVERAL\FEW-[A-hand - 4-hand-version] ⧸SEVERAL.mp4,FEW-A-hand - 4-hand-version SEVERAL
627,../Data\Words/downloaded_videos\field\field.mp4,field
628,../Data\Words/downloaded_videos\Figure-out\Figure-out.mp4,Figure-out
629,../Data\Words/downloaded_videos\figure-skating-SKATE-TWIRL-ballet-on-skates\figure-skating-[SKATE-TWIRL-(ballet-on-skates)].mp4,figure-skating-SKATE-TWIRL-ballet-on-skates
630,../Data\Words/downloaded_videos\figure-skating-SKATE-TWIRL-ballet-on-skates-version\figure-skating-[SKATE-TWIRL-(ballet-on-skates)]-[version].mp4,figure-skating-SKATE-TWIRL-ballet-on-skates-version
631,../Data\Words/downloaded_videos\FINE okay\FINE [okay].mp4,FINE okay
632,../Data\Words/downloaded_videos\FINE-good\FINE-[good].mp4,FINE-good
633,../Data\Words/downloaded_videos\FINGERSPELL\FINGERSPELL.mp4,FINGERSPELL
634,../Data\Words/downloaded_videos\FINISH\FINISH.mp4,FINISH
635,../Data\Words/downloaded_videos\FINISH  all done  already completed  and then  its over  after which\FINISH ⧸ all done ⧸ already completed ⧸ and then ⧸ it's over ⧸ after which.mp4,FINISH  all done  already completed  and then  its over  after which
636,../Data\Words/downloaded_videos\FINISH-done\FINISH-[done].mp4,FINISH-done
637,../Data\Words/downloaded_videos\FIRE  flame  burning  flames ASL one of several versions\FIRE ⧸ flame ⧸ burning ⧸ flames (ASL) [one of several versions].mp4,FIRE  flame  burning  flames ASL one of several versions
638,"../Data\Words/downloaded_videos\FIRE - terminate excommunicate\FIRE - terminate, excommunicate.mp4",FIRE - terminate excommunicate
639,../Data\Words/downloaded_videos\FIRE-ALARM\FIRE-ALARM.mp4,FIRE-ALARM
640,../Data\Words/downloaded_videos\FIRE-roaring_fire  blazing  blaze  bonfire  inferno\FIRE-[roaring_fire] ⧸ blazing ⧸ blaze ⧸ bonfire ⧸ inferno.mp4,FIRE-roaring_fire  blazing  blaze  bonfire  inferno
641,../Data\Words/downloaded_videos\FIREMAN\FIREMAN.mp4,FIREMAN
642,../Data\Words/downloaded_videos\FIREMAN-C-hand-version-2\FIREMAN-[C-hand-version-2].mp4,FIREMAN-C-hand-version-2
643,../Data\Words/downloaded_videos\FIREMAN-C-hand-version-3\FIREMAN-[C-hand-version-3].mp4,FIREMAN-C-hand-version-3
644,../Data\Words/downloaded_videos\FIRSTprimary\FIRST⧸primary.mp4,FIRSTprimary
645,../Data\Words/downloaded_videos\FISH\FISH.mp4,FISH
646,../Data\Words/downloaded_videos\FISH LIKE EAT BUG\FISH LIKE EAT BUG？.mp4,FISH LIKE EAT BUG
647,../Data\Words/downloaded_videos\FISH-version-1\FISH-[version-1].mp4,FISH-version-1
648,../Data\Words/downloaded_videos\FISH-version-2\FISH-[version-2].mp4,FISH-version-2
649,../Data\Words/downloaded_videos\fishing\fishing.mp4,fishing
650,../Data\Words/downloaded_videos\FISHING pull back version\FISHING (pull back version).mp4,FISHING pull back version
651,../Data\Words/downloaded_videos\FIVE\FIVE.mp4,FIVE
652,../Data\Words/downloaded_videos\FIVE TIMES-worse SIX EQUAL WHAT\FIVE TIMES-[worse] SIX EQUAL WHAT？.mp4,FIVE TIMES-worse SIX EQUAL WHAT
653,../Data\Words/downloaded_videos\FIX - repair\FIX - repair.mp4,FIX - repair
654,../Data\Words/downloaded_videos\FIX-fingerspelled version\FIX-[fingerspelled version].mp4,FIX-fingerspelled version
655,../Data\Words/downloaded_videos\FLAT-flat long object\FLAT-(flat long object).mp4,FLAT-flat long object
656,../Data\Words/downloaded_videos\FLAT-TIRE\FLAT-TIRE.mp4,FLAT-TIRE
657,"../Data\Words/downloaded_videos\FLAT-TIRE YOU KNOW HOW CHANGE YOU\FLAT-TIRE, YOU KNOW HOW CHANGE YOU？.mp4",FLAT-TIRE YOU KNOW HOW CHANGE YOU
658,../Data\Words/downloaded_videos\FLATTERY\FLATTERY.mp4,FLATTERY
659,../Data\Words/downloaded_videos\FLOOR\FLOOR.mp4,FLOOR
660,../Data\Words/downloaded_videos\flow RIVER\flow [RIVER].mp4,flow RIVER
661,../Data\Words/downloaded_videos\FLOWER\FLOWER.mp4,FLOWER
662,"../Data\Words/downloaded_videos\FLOWER GROW-GROW-garden DOG DIG WHY\FLOWER GROW-GROW-[garden] DOG DIG, WHY？.mp4",FLOWER GROW-GROW-garden DOG DIG WHY
663,../Data\Words/downloaded_videos\FLOWER YOU LIKE WHAT-KIND\FLOWER YOU LIKE WHAT-KIND？.mp4,FLOWER YOU LIKE WHAT-KIND
664,"../Data\Words/downloaded_videos\FLOWER YOU nose-OPPOSITE-allergic\FLOWER, YOU nose-OPPOSITE-[allergic]？.mp4",FLOWER YOU nose-OPPOSITE-allergic
665,../Data\Words/downloaded_videos\FLUNK CLASS PAST-before YOU\FLUNK CLASS PAST-[before] YOU？.mp4,FLUNK CLASS PAST-before YOU
666,../Data\Words/downloaded_videos\FLY-a fly buzzing around  flying around\FLY-[a fly buzzing around] ⧸ flying around.mp4,FLY-a fly buzzing around  flying around
667,../Data\Words/downloaded_videos\flyflying airplane\fly⧸flying airplane.mp4,flyflying airplane
668,../Data\Words/downloaded_videos\folding chair ASL double movement version of CHAIR\folding chair (ASL) (double movement version of CHAIR).mp4,folding chair ASL double movement version of CHAIR
669,../Data\Words/downloaded_videos\folkpeople\folk⧸people.mp4,folkpeople
670,../Data\Words/downloaded_videos\FOOD ENOUGH YOU\FOOD ENOUGH YOU？.mp4,FOOD ENOUGH YOU
671,"../Data\Words/downloaded_videos\FOOD IF COVER WILL POSTPONE RUIN-spoil QM-wig\FOOD, IF COVER, WILL POSTPONE RUIN-[spoil] QM-wig？.mp4",FOOD IF COVER WILL POSTPONE RUIN-spoil QM-wig
672,../Data\Words/downloaded_videos\FOOD STORE YOU LIVE THEREABOUTS\FOOD STORE YOU LIVE THEREABOUTS？.mp4,FOOD STORE YOU LIVE THEREABOUTS
673,"../Data\Words/downloaded_videos\FOOD STRANGE NEW YOU LIKE EAT YOU\FOOD, STRANGE, NEW, YOU LIKE EAT YOU？.mp4",FOOD STRANGE NEW YOU LIKE EAT YOU
674,"../Data\Words/downloaded_videos\FOOD YOU THINK TASTE AWFUL WHAT\FOOD YOU THINK TASTE AWFUL, WHAT？.mp4",FOOD YOU THINK TASTE AWFUL WHAT
675,../Data\Words/downloaded_videos\FOOTBALL\FOOTBALL.mp4,FOOTBALL
676,"../Data\Words/downloaded_videos\FOOTBALL YOU LIKE DISCUSS-with YOUR DAD\FOOTBALL, YOU LIKE DISCUSS-with YOUR DAD？.mp4",FOOTBALL YOU LIKE DISCUSS-with YOUR DAD
677,"../Data\Words/downloaded_videos\FOOTBALL YOUR FAVORITE TEAM\FOOTBALL, YOUR FAVORITE TEAM？.mp4",FOOTBALL YOUR FAVORITE TEAM
678,../Data\Words/downloaded_videos\for\for.mp4,for
679,"../Data\Words/downloaded_videos\FOR DATE YOU LIKE DO-what\FOR DATE, YOU LIKE DO-what？.mp4",FOR DATE YOU LIKE DO-what
680,../Data\Words/downloaded_videos\FOR YOU SLEEP MUST DARK\FOR YOU SLEEP MUST DARK？.mp4,FOR YOU SLEEP MUST DARK
681,"../Data\Words/downloaded_videos\FOR YOU STUDY MUST ROOM QUIET\FOR YOU STUDY, MUST ROOM QUIET？.mp4",FOR YOU STUDY MUST ROOM QUIET
682,../Data\Words/downloaded_videos\FOREST-parkgrove of trees\FOREST-[park⧸grove of trees].mp4,FOREST-parkgrove of trees
683,../Data\Words/downloaded_videos\forget version 2\forget version 2.mp4,forget version 2
684,../Data\Words/downloaded_videos\FORGET-repeatedly  forgetful\FORGET-[repeatedly] ⧸ forgetful.mp4,FORGET-repeatedly  forgetful
685,../Data\Words/downloaded_videos\FORGET-version-1\FORGET-[version-1].mp4,FORGET-version-1
686,../Data\Words/downloaded_videos\FORM -non initialized version   resume-version  transcript-version\FORM -[non initialized version]  ⧸ resume-[version] ⧸ transcript-[version].mp4,FORM -non initialized version   resume-version  transcript-version
687,../Data\Words/downloaded_videos\fraud-to-FOOL-version-conned\fraud-[to-FOOL-version]-conned.mp4,fraud-to-FOOL-version-conned
688,../Data\Words/downloaded_videos\free\free.mp4,free
689,../Data\Words/downloaded_videos\FREEWAY-version-1\FREEWAY-[version-1].mp4,FREEWAY-version-1
690,../Data\Words/downloaded_videos\FREEWAY-version-2\FREEWAY-[version-2].mp4,FREEWAY-version-2
691,../Data\Words/downloaded_videos\French Fries\French Fries.mp4,French Fries
692,../Data\Words/downloaded_videos\FRENCH TOAST MAKE HOW\FRENCH TOAST MAKE HOW？.mp4,FRENCH TOAST MAKE HOW
693,../Data\Words/downloaded_videos\FRESHMAN-year\FRESHMAN-year.mp4,FRESHMAN-year
694,../Data\Words/downloaded_videos\FRIDAY\FRIDAY.mp4,FRIDAY
695,../Data\Words/downloaded_videos\friend\friend.mp4,friend
696,../Data\Words/downloaded_videos\friendly\friendly.mp4,friendly
697,../Data\Words/downloaded_videos\FRISBEE\FRISBEE.mp4,FRISBEE
698,"../Data\Words/downloaded_videos\FRISBEE YOU LIKE PLAY YOU\FRISBEE, YOU LIKE PLAY YOU？.mp4",FRISBEE YOU LIKE PLAY YOU
699,../Data\Words/downloaded_videos\FROM\FROM.mp4,FROM
700,../Data\Words/downloaded_videos\from then on  from now on  from this point forward\from then on ⧸ from now on ⧸ from this point forward.mp4,from then on  from now on  from this point forward
701,../Data\Words/downloaded_videos\FROM-TIME-TO-TIME\FROM-TIME-TO-TIME.mp4,FROM-TIME-TO-TIME
702,../Data\Words/downloaded_videos\FRUIT\FRUIT.mp4,FRUIT
703,../Data\Words/downloaded_videos\FRUIT single twist version\FRUIT (single twist version).mp4,FRUIT single twist version
704,"../Data\Words/downloaded_videos\FRUIT YOU LIKE WHAT-KIND\FRUIT, YOU LIKE WHAT-KIND？.mp4",FRUIT YOU LIKE WHAT-KIND
705,../Data\Words/downloaded_videos\FRUSTRATED\FRUSTRATED.mp4,FRUSTRATED
706,../Data\Words/downloaded_videos\fs-BANK\fs-BANK.mp4,fs-BANK
707,../Data\Words/downloaded_videos\fs-FUN\fs-FUN.mp4,fs-FUN
708,../Data\Words/downloaded_videos\fs-L-E-G leg\fs-L-E-G (leg).mp4,fs-L-E-G leg
709,../Data\Words/downloaded_videos\fs-O-K\fs-O-K.mp4,fs-O-K
710,../Data\Words/downloaded_videos\fs-P-O-Post Office\fs-P-O-[Post Office].mp4,fs-P-O-Post Office
711,../Data\Words/downloaded_videos\FULL\FULL.mp4,FULL
712,../Data\Words/downloaded_videos\FULL-stomach stuffed\FULL-[stomach]⧸ stuffed.mp4,FULL-stomach stuffed
713,../Data\Words/downloaded_videos\FUN\FUN.mp4,FUN
714,../Data\Words/downloaded_videos\FUNNY\FUNNY.mp4,FUNNY
715,"../Data\Words/downloaded_videos\FUNNY BOOK CHARACTER YOUR FAVORITE WHO\FUNNY BOOK CHARACTER, YOUR FAVORITE, WHO？.mp4",FUNNY BOOK CHARACTER YOUR FAVORITE WHO
716,"../Data\Words/downloaded_videos\FUNNY-comic BOOK YOU LIKE TRADE\FUNNY-[comic] BOOK, YOU LIKE TRADE？.mp4",FUNNY-comic BOOK YOU LIKE TRADE
717,../Data\Words/downloaded_videos\FURNITURE\FURNITURE.mp4,FURNITURE
718,../Data\Words/downloaded_videos\FUTURE-someday YOU MAYBE BECOME NURSE\FUTURE-[someday] YOU MAYBE BECOME NURSE？.mp4,FUTURE-someday YOU MAYBE BECOME NURSE
719,../Data\Words/downloaded_videos\FUTURE-WILL\FUTURE-[WILL].mp4,FUTURE-WILL
720,../Data\Words/downloaded_videos\GALLAUDET\GALLAUDET.mp4,GALLAUDET
721,"../Data\Words/downloaded_videos\GALLAUDET UNIVERSITY ESTABLISH WHEN\GALLAUDET UNIVERSITY, ESTABLISH WHEN？.mp4",GALLAUDET UNIVERSITY ESTABLISH WHEN
722,../Data\Words/downloaded_videos\GAME\GAME.mp4,GAME
723,"../Data\Words/downloaded_videos\GAME YOU LIKE PLAY what-NAME\GAME YOU LIKE PLAY, what-NAME？.mp4",GAME YOU LIKE PLAY what-NAME
724,../Data\Words/downloaded_videos\garage\garage.mp4,garage
